d_name,model_name,fit_time_mean,fit_trees_main_mean,fit_trees_inter_mean,test_score_mean,n_splits_mean,random_state_mean,test_size_mean,fit_time_std,fit_trees_main_std,fit_trees_inter_std,test_score_std,n_splits_std,random_state_std,test_size_std
NHANES I,EGB_XGB_GA2M_CYCLIC_CYCLIC,751.173403263092,285914.4,16422.8,0.8224757638815795,5,42,2140,63.672834247865126,9905.12606179245,2480.2981070830983,0.0056539842206542205,0.0,0.0,0.0
NHANES I,EGB_XGB_GA2M_RANDOM_RANDOM,717.2141321659088,287168.6,15820.2,0.8224383799495036,5,42,2140,35.48152745804492,8261.744083424515,1579.4042231170586,0.005673259283909323,0.0,0.0,0.0
NHANES I,EGB_XGB_GAM_CYCLIC_CYCLIC,631.2947190761566,286436.6,0.0,0.8203828077138773,5,42,2140,33.435867436415556,12295.865008204992,0.0,0.004943216509921433,0.0,0.0,0.0
NHANES I,EGB_XGB_GAM_RANDOM_RANDOM,647.2216667175293,287168.6,0.0,0.8203521517097577,5,42,2140,25.472532145875718,8261.744083424515,0.0,0.0049485066244350385,0.0,0.0,0.0
NHANES I,XGB,0.23334951400756837,0.0,0.0,0.8201128357085696,5,42,2140,0.026823422445163357,0.0,0.0,0.00798556009071231,0.0,0.0,0.0
california housing monotone,EGB_XGB_GA2M_CYCLIC_CYCLIC,633.8914855003356,292193.6,233142.6,-0.5265500462445676,5,42,3096,11.135416925404876,14306.063899619625,10103.87107993763,0.012842135968303565,0.0,0.0,0.0
california housing monotone,EGB_XGB_GA2M_RANDOM_RANDOM,625.3568507194519,290125.6,224658.2,-0.5268817088301272,5,42,3096,18.028720113600855,10794.32241041558,16788.572860728815,0.01313998826950194,0.0,0.0,0.0
california housing monotone,EGB_XGB_GAM_CYCLIC_CYCLIC,292.16684556007385,292940.2,0.0,-0.5721554371186495,5,42,3096,13.953093169929131,15055.282269024387,0.0,0.012127981546082727,0.0,0.0,0.0
california housing monotone,EGB_XGB_GAM_RANDOM_RANDOM,312.98886466026306,290125.6,0.0,-0.5722754747978752,5,42,3096,19.730861035565997,10794.32241041558,0.0,0.012164094360852706,0.0,0.0,0.0
california housing monotone,XGB,0.32330822944641113,0.0,0.0,-0.49601235515374287,5,42,3096,0.10394578591644635,0.0,0.0,0.01587103731986999,0.0,0.0,0.0
