,param_index,SCONE_QUEUES,SCONE_SLOTS,SCONE_SSPINS,SCONE_SSLEEP,throughput,latency,failed,time,param_iter
0,0,2,1622,1612,4344,179.26512056475684,896.1522478791453,28061.0,557833.0,0
1,1,1,722,1315,4498,193.66071030875327,1107.0224388824215,15585.0,516367.0,2
2,1,1,722,1315,4498,198.1080679510673,870.2750021696994,15627.0,504775.0,3
3,1,1,722,1315,4498,188.97197356660033,1122.0342838179358,10720.0,529179.0,0
4,1,1,722,1315,4498,831.8014323620665,1176.1346272888836,0.0,120221.0,1
5,1,1,722,1315,4498,2639.358108108108,348.926707229205,0.0,37888.0,4
6,2,5,1682,365,2048,3619.9095022624433,252.47326736623708,0.0,27625.0,2
7,2,5,1682,365,2048,3382.606636674221,274.19457530621656,0.0,29563.0,3
8,2,5,1682,365,2048,3727.587877884221,255.61892470536446,0.0,26827.0,4
9,2,5,1682,365,2048,3759.1158559506803,250.2589673315062,0.0,26602.0,1
10,2,5,1682,365,2048,3667.3023324042833,253.28893705844573,0.0,27268.0,0
11,3,7,242,840,3273,3473.6695845491176,270.9115614923998,0.0,28788.0,2
12,3,7,242,840,3273,3226.951498918971,284.38719634410324,0.0,30989.0,3
13,3,7,242,840,3273,3514.444366345681,268.32396004653214,0.0,28454.0,0
14,3,7,242,840,3273,3619.1234483008216,253.40480945913558,0.0,27631.0,1
15,3,7,242,840,3273,3611.0208355902214,254.39696234024197,0.0,27693.0,4
16,4,3,1202,1790,823,5745.475438092502,151.076906064018,0.0,17405.0,2
17,4,3,1202,1790,823,5846.585594013096,151.23492756817407,0.0,17104.0,3
18,4,3,1202,1790,823,6068.697657482704,143.3402660557833,0.0,16478.0,0
19,4,3,1202,1790,823,5732.630130703967,134.98278058685352,0.0,17444.0,4
20,4,3,1202,1790,823,5799.454851243983,154.24141168011505,0.0,17243.0,1
21,5,4,482,128,3885,2480.5278563278266,353.39539289988033,0.0,40314.0,4
22,5,4,482,128,3885,2881.4291888776834,304.2097538541521,0.0,34705.0,3
23,5,4,482,128,3885,3192.0326864147087,295.28325697291217,0.0,31328.0,2
24,5,4,482,128,3885,2894.6073465134455,326.132984041915,0.0,34547.0,0
25,5,4,482,128,3885,3218.953196420524,294.7516611129956,0.0,31066.0,1
26,6,8,1442,1078,1435,3978.832610512076,226.62919412672022,0.0,25133.0,4
27,6,8,1442,1078,1435,3999.3601023836186,227.28161632326464,0.0,25004.0,2
28,6,8,1442,1078,1435,3645.2447781868555,250.3760454600024,0.0,27433.0,0
29,6,8,1442,1078,1435,4001.1203136878325,223.3102759694876,0.0,24993.0,3
30,6,8,1442,1078,1435,3684.8699240916794,246.6261938061938,0.0,27138.0,1
31,7,6,962,1553,2660,4320.774282751469,204.73056032589162,0.0,23144.0,1
32,7,6,962,1553,2660,3956.635277360133,220.4928944054686,0.0,25274.0,4
33,7,6,962,1553,2660,4252.785574551331,209.8079099434147,0.0,23514.0,2
34,7,6,962,1553,2660,4058.4415584415583,223.9580540928674,0.0,24640.0,3
35,7,6,962,1553,2660,4256.768261535842,210.64758300292362,0.0,23492.0,0
36,8,2,1922,603,210,5479.151827297134,166.18948824343016,0.0,18251.0,0
37,8,2,1922,603,210,33.12343015643202,959.0580659737913,45649.0,3019011.0,1
38,9,2,362,1909,1741,39.610925643954815,1117.4634081902245,46288.0,2524556.0,0
39,10,5,1322,959,4191,39.40026492738137,1301.967995169082,46843.0,2538054.0,0
40,11,7,842,484,516,39.35920072483904,2456.8465025906735,46601.0,2540702.0,0
41,12,4,1802,1434,2966,49.112367623752114,664.2527100271003,45520.0,2036147.0,0
42,13,3,1082,722,2354,65.29861710588693,656.2620447862474,41552.0,1531426.0,0
43,14,6,2042,1672,4804,95.89713689508086,478.77467105263156,36593.0,1042784.0,0
44,15,5,602,1197,1129,188.87810185062764,235.91545938872792,28466.0,529442.0,0
45,16,1,1562,247,3579,4407.227853680035,219.042117519523,0.0,22690.0,4
46,16,1,1562,247,3579,4093.1603290900903,213.46080095875362,0.0,24431.0,0
47,16,1,1562,247,3579,4280.0890258517375,223.49867352841443,0.0,23364.0,3
48,16,1,1562,247,3579,4464.485021652752,211.93622045668315,0.0,22399.0,2
49,16,1,1562,247,3579,4462.094507161662,209.64590815159602,0.0,22411.0,1
50,17,1,606,1965,2210,6308.352258390109,140.28834245175253,0.0,15852.0,1
51,17,1,606,1965,2210,6363.752068219422,133.64058460926626,0.0,15714.0,2
52,17,1,606,1965,2210,6435.420554733252,134.34550919659208,0.0,15539.0,4
53,17,1,606,1965,2210,6425.496369594551,140.22797076784462,0.0,15563.0,0
54,18,5,1566,1015,4660,3452.204232402389,265.7096787028748,0.0,28967.0,4
55,18,5,1566,1015,4660,3545.5963693093177,253.88361706388943,0.0,28204.0,1
56,18,5,1566,1015,4660,3696.0378474275576,247.59376061714332,0.0,27056.0,2
57,18,5,1566,1015,4660,3674.444240308653,246.796852987281,0.0,27215.0,0
58,18,5,1566,1015,4660,3450.060376056581,255.1389772204556,0.0,28985.0,3
59,19,6,1086,540,985,4544.834795255192,205.1912277886968,0.0,22003.0,3
60,19,6,1086,540,985,3690.036900369004,248.22001867933153,0.0,27100.0,4
61,19,6,1086,540,985,4471.072163104713,207.84085263242247,0.0,22366.0,1
62,19,6,1086,540,985,4274.783054759971,216.64067378636915,0.0,23393.0,0
63,19,6,1086,540,985,4361.2891970866585,214.7233405657345,0.0,22929.0,2
64,20,3,2046,1490,3435,4692.412369199005,181.8185136164922,0.0,21311.0,1
65,20,3,2046,1490,3435,4615.739672282483,194.4470560114732,0.0,21665.0,0
66,20,3,2046,1490,3435,4644.897580008361,193.35276367851006,0.0,21529.0,4
67,20,3,2046,1490,3435,4789.730817128077,189.4301687171883,0.0,20878.0,3
68,20,3,2046,1490,3435,5014.290728576443,175.04593667916507,0.0,19943.0,2
69,21,4,846,777,1598,4332.7556325823225,204.58833140716536,0.0,23080.0,4
70,21,4,846,777,1598,4380.777149866386,214.21240556180678,0.0,22827.0,2
71,21,4,846,777,1598,3956.948401392846,241.15076511246954,0.0,25272.0,0
72,21,4,846,777,1598,4613.1844812474055,195.11619605326487,0.0,21677.0,1
73,21,4,846,777,1598,4377.517072316582,212.58505390460277,0.0,22844.0,3
74,22,7,1806,1727,4048,3843.7884378843787,239.1533451864874,0.0,26016.0,3
75,22,7,1806,1727,4048,3481.409274474307,269.524175164967,0.0,28724.0,4
76,22,7,1806,1727,4048,3524.6017200056394,271.93909187159153,0.0,28372.0,1
77,22,7,1806,1727,4048,3738.3177570093458,246.8918815931972,0.0,26750.0,0
78,22,7,1806,1727,4048,3839.066339066339,233.90332671599592,0.0,26048.0,2
79,23,5,366,1252,373,5742.835812324126,157.80413666553642,0.0,17413.0,2
80,23,5,366,1252,373,100.32052407441776,472.3937342207941,41479.0,996805.0,3
81,23,5,366,1252,373,5642.703983749013,145.0310715919715,0.0,17722.0,0
82,23,5,366,1252,373,5426.819341184132,174.71533238027163,0.0,18427.0,1
83,24,2,1326,302,2823,64.36476801328489,943.19209527097,44425.0,1553645.0,0
84,25,2,966,1371,4354,90.73101067994726,1301.6231651130397,31346.0,1102159.0,0
85,26,6,1926,421,1904,168.02063293372427,956.723670320747,25416.0,595165.0,0
86,27,8,486,896,3129,3582.8168105764753,256.5220954811949,0.0,27911.0,4
87,27,8,486,896,3129,3553.281455424084,256.1184562019058,0.0,28143.0,3
88,27,8,486,896,3129,3609.847664428561,255.54608382514755,0.0,27702.0,2
89,27,8,486,896,3129,3544.339689515843,256.30441637230837,0.0,28214.0,0
90,27,8,486,896,3129,3467.8873630184494,265.2618824046511,0.0,28836.0,1
91,28,4,1446,1846,679,5560.498220640569,149.69227540721494,0.0,17984.0,1
92,28,4,1446,1846,679,5900.749395173187,144.85009009009008,0.0,16947.0,0
93,28,4,1446,1846,679,5999.520038396929,145.2864896375661,0.0,16668.0,2
94,28,4,1446,1846,679,5761.364291064124,152.82662600810497,0.0,17357.0,4
95,28,4,1446,1846,679,5672.149744753261,163.99703668108282,0.0,17630.0,3
96,29,3,246,183,4967,3207.184092366902,293.383026699126,0.0,31180.0,0
97,29,3,246,183,4967,2687.7385367951406,343.7207433450527,0.0,37206.0,2
98,29,3,246,183,4967,3201.434242540658,294.77002646139044,0.0,31236.0,1
99,29,3,246,183,4967,3162.5553447185325,300.6165174129353,0.0,31620.0,4
100,29,3,246,183,4967,3199.795213106361,295.3189128562559,0.0,31252.0,3
101,30,7,1206,1133,2517,3758.2681900180396,241.93198765234123,0.0,26608.0,3
102,30,7,1206,1133,2517,3612.0642947444467,251.74692904234215,0.0,27685.0,1
103,30,7,1206,1133,2517,3842.1639067122605,233.52205926730642,0.0,26027.0,0
104,30,7,1206,1133,2517,3796.0748585962115,240.86792263753884,0.0,26343.0,4
105,30,7,1206,1133,2517,3789.170550566481,247.605261568809,0.0,26391.0,2
106,31,5,726,1608,3742,4066.363044892648,220.77943290734825,0.0,24592.0,3
107,31,5,726,1608,3742,4071.495460282562,226.78199527035153,0.0,24561.0,0
